               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.081273,             0.23277,           0.0038875,             0.92729,             0.38966,             0.43749,             0.17627,            0.067207,             0.14774,           0.0032005,           0.0051418,           0.0051418,            0.048542
                  63,            0.080222,             0.23338,           0.0036051,             0.91586,             0.38782,             0.42563,             0.15648,             0.06887,              0.1511,           0.0031488,            0.005207,            0.005207,            0.047707
                  64,            0.080049,             0.23727,           0.0033506,             0.87147,             0.37547,             0.42136,              0.2002,            0.068388,             0.14615,           0.0032643,           0.0052715,           0.0052715,            0.046872
                  65,            0.078189,             0.25256,           0.0035962,             0.87589,             0.39929,             0.39481,             0.12479,            0.075106,             0.15776,           0.0032184,           0.0053353,           0.0053353,            0.046035
                  66,            0.079025,              0.2412,           0.0033551,             0.80601,             0.39823,             0.36297,             0.17242,            0.068605,             0.14887,           0.0031948,           0.0053983,           0.0053983,            0.045198
                  67,             0.07686,             0.22682,           0.0034072,             0.85708,             0.41133,             0.39567,             0.17206,            0.069039,             0.14827,           0.0031857,           0.0054606,           0.0054606,            0.044361
                  68,            0.077768,             0.23781,           0.0034525,             0.94656,             0.41552,             0.45895,             0.21897,            0.068256,             0.14755,           0.0031139,            0.005522,            0.005522,            0.043522
                  69,            0.080126,             0.22924,           0.0037987,             0.94864,             0.40555,             0.45112,             0.18949,            0.065411,             0.14792,           0.0031157,           0.0055827,           0.0055827,            0.042683
                  70,            0.075682,             0.22741,           0.0034737,             0.89032,             0.38962,             0.39945,             0.20068,              0.0732,             0.14384,           0.0031019,           0.0056426,           0.0056426,            0.041843
                  71,            0.075901,             0.24031,           0.0031894,              0.9275,             0.42097,             0.46125,             0.23021,            0.072474,             0.14627,           0.0031117,           0.0057016,           0.0057016,            0.041002
                  72,            0.076005,             0.22673,           0.0029494,             0.90306,             0.41557,             0.44152,             0.22099,            0.068817,             0.14413,           0.0031053,           0.0057599,           0.0057599,             0.04016
                  73,            0.076066,              0.2304,           0.0040811,             0.96467,             0.44834,             0.48283,             0.25855,            0.060697,             0.13887,           0.0031444,           0.0058174,           0.0058174,            0.039317
                  74,            0.074802,             0.23251,           0.0033428,             0.96196,             0.44179,             0.47682,             0.24111,             0.06305,             0.14137,           0.0031848,            0.005874,            0.005874,            0.038474
                  75,            0.074275,             0.23968,           0.0030457,             0.96021,             0.45104,             0.48304,             0.24527,            0.059624,              0.1435,           0.0032278,           0.0059298,           0.0059298,             0.03763
                  76,            0.069025,             0.24004,           0.0027496,             0.96667,             0.44295,             0.48224,             0.26836,            0.062589,             0.13947,           0.0031028,           0.0059848,           0.0059848,            0.036785
                  77,            0.076309,             0.24036,           0.0038254,             0.91077,             0.37268,             0.40926,             0.16053,            0.067506,             0.15032,           0.0031026,           0.0060389,           0.0060389,            0.035939
                  78,            0.075413,             0.23619,           0.0037885,             0.96213,             0.44216,             0.47346,             0.24276,            0.063319,             0.14088,           0.0031046,           0.0060921,           0.0060921,            0.035092
                  79,            0.072981,             0.23306,           0.0042493,             0.94604,             0.44292,              0.4685,             0.24515,            0.059832,              0.1391,           0.0031052,           0.0061445,           0.0061445,            0.034245
                  80,            0.073285,             0.22005,           0.0038614,             0.96131,             0.43446,             0.47195,               0.244,            0.064687,              0.1426,           0.0030948,           0.0061961,           0.0061961,            0.033396
                  81,            0.075882,             0.23643,            0.003176,               0.948,             0.44173,             0.47438,             0.23863,            0.063208,             0.14628,           0.0030941,           0.0062467,           0.0062467,            0.032547
                  82,             0.07241,             0.22434,           0.0037983,             0.96967,             0.44911,             0.47569,             0.22804,            0.065919,             0.14118,           0.0031291,           0.0062965,           0.0062965,            0.031697
                  83,            0.074245,             0.22248,           0.0036687,             0.95423,             0.45523,             0.47922,             0.26902,            0.064168,             0.13995,            0.003149,           0.0063454,           0.0063454,            0.030845
                  84,            0.072541,             0.20904,            0.003374,             0.96834,             0.45058,             0.47757,             0.23947,            0.062653,             0.14108,           0.0031435,           0.0063935,           0.0063935,            0.029993
                  85,             0.07248,             0.23239,           0.0030416,             0.95904,             0.45791,             0.48193,              0.2744,            0.060877,             0.13818,           0.0031705,           0.0064406,           0.0064406,            0.029141
                  86,            0.073452,             0.23076,            0.003356,             0.93663,              0.4495,              0.4748,             0.27052,            0.063259,             0.13945,           0.0031339,           0.0064868,           0.0064868,            0.028287
                  87,            0.072852,             0.22492,           0.0032712,             0.97525,              0.4522,             0.47903,             0.24401,            0.063098,             0.13999,           0.0030702,           0.0065321,           0.0065321,            0.027432
                  88,            0.071703,             0.23897,           0.0036902,             0.97281,             0.46257,             0.48759,             0.27759,            0.059731,              0.1367,           0.0031088,           0.0065766,           0.0065766,            0.026577
                  89,            0.070186,             0.23016,           0.0037407,             0.97801,               0.461,             0.48907,             0.27932,            0.058346,             0.13648,           0.0030764,           0.0066201,           0.0066201,             0.02572
                  90,            0.068507,              0.2351,           0.0033452,             0.97017,               0.468,             0.48797,             0.28337,            0.059245,             0.13578,           0.0030536,           0.0066626,           0.0066626,            0.024863
                  91,            0.074036,             0.23684,           0.0030619,             0.97529,             0.46106,             0.48932,             0.27804,            0.059513,              0.1372,           0.0031061,           0.0067043,           0.0067043,            0.024004
                  92,            0.070965,             0.22893,           0.0029566,             0.90443,             0.45026,              0.4537,             0.25483,            0.065621,             0.15081,           0.0031071,            0.006745,            0.006745,            0.023145
                  93,            0.075037,             0.23386,           0.0030058,             0.98318,             0.41981,             0.47162,             0.26282,            0.069346,             0.14425,           0.0031212,           0.0067848,           0.0067848,            0.022285
                  94,            0.075602,             0.24756,           0.0033964,             0.92033,             0.42521,             0.43864,             0.19916,            0.067162,             0.15053,           0.0031361,           0.0068237,           0.0068237,            0.021424
                  95,            0.073073,             0.24019,           0.0033048,             0.94274,             0.44179,             0.47199,             0.26095,            0.067338,             0.14278,           0.0031149,           0.0068616,           0.0068616,            0.020562
                  96,             0.07422,             0.23972,           0.0034345,             0.88791,             0.43986,             0.45404,             0.25008,            0.065882,              0.1422,           0.0030861,           0.0068986,           0.0068986,            0.019699
                  97,            0.075806,             0.23282,            0.003259,             0.95651,             0.45335,             0.48271,             0.26839,            0.062936,             0.13831,           0.0031699,           0.0069346,           0.0069346,            0.018835
                  98,            0.075139,             0.23181,           0.0035876,             0.96285,             0.44671,             0.47484,             0.20929,            0.069277,              0.1455,           0.0031253,           0.0069697,           0.0069697,             0.01797
                  99,            0.073346,             0.24377,            0.003525,              0.8874,             0.44449,             0.46252,             0.22972,            0.069274,             0.16038,           0.0031206,           0.0070038,           0.0070038,            0.017104
                 100,            0.068986,             0.24258,           0.0031282,             0.95256,              0.4468,             0.47498,             0.24862,            0.064577,             0.14939,            0.003034,            0.007037,            0.007037,            0.016237
                 101,            0.072896,             0.24999,           0.0035544,             0.96534,             0.44102,             0.47301,             0.19447,            0.065752,             0.17779,           0.0030447,           0.0070692,           0.0070692,            0.015369
                 102,            0.073637,             0.27208,            0.003563,             0.89943,             0.45166,             0.45332,             0.23395,            0.067035,             0.15656,           0.0030447,           0.0071005,           0.0071005,              0.0145
                 103,            0.071126,             0.22336,           0.0029561,             0.92672,             0.44446,              0.4672,             0.24494,            0.063934,             0.16487,           0.0031152,           0.0071308,           0.0071308,            0.013631
                 104,            0.072717,             0.22153,            0.003355,             0.87678,             0.43969,             0.41709,             0.18728,            0.068414,             0.17412,           0.0031416,           0.0071601,           0.0071601,             0.01276
                 105,            0.078628,             0.24227,            0.002978,             0.96067,             0.45181,             0.48016,             0.23705,            0.068087,             0.15047,           0.0032445,           0.0071884,           0.0071884,            0.011888
                 106,            0.073456,             0.23868,           0.0033963,             0.95394,             0.45759,             0.47786,             0.24955,            0.061507,             0.14515,           0.0030513,           0.0072158,           0.0072158,            0.011016
                 107,            0.070168,             0.22304,           0.0029577,             0.95035,             0.45258,             0.47387,             0.23471,             0.06388,             0.15027,           0.0030348,           0.0072422,           0.0072422,            0.010142
                 108,            0.066977,               0.225,           0.0032811,             0.94677,             0.43061,             0.46223,             0.21452,             0.06382,             0.14584,           0.0029763,           0.0072677,           0.0072677,           0.0092677
                 109,            0.070627,             0.22423,            0.003433,             0.93781,              0.4522,             0.47526,             0.24052,            0.066482,             0.14128,           0.0030283,           0.0072922,           0.0072922,           0.0083922
                 110,            0.071291,             0.23652,           0.0029827,             0.97527,             0.45258,              0.4837,             0.26701,            0.065248,              0.1406,            0.003009,           0.0073157,           0.0073157,           0.0075157
                 111,            0.070982,             0.22598,           0.0028121,             0.97036,             0.45374,              0.4852,              0.2706,            0.062133,             0.14262,           0.0030045,           0.0072872,           0.0072872,           0.0072872
                 112,            0.068373,              0.2233,           0.0035904,             0.96057,             0.44564,             0.48092,             0.25089,            0.063164,             0.14182,           0.0030411,           0.0072872,           0.0072872,           0.0072872
                 113,            0.074647,             0.23443,           0.0042175,             0.96842,             0.45567,              0.4862,             0.26708,            0.060617,             0.13972,           0.0031016,           0.0072438,           0.0072438,           0.0072438
                 114,            0.070013,             0.24853,           0.0030035,              0.9568,             0.44449,             0.47598,             0.23598,            0.063175,             0.14419,           0.0030183,           0.0072003,           0.0072003,           0.0072003
                 115,            0.072505,             0.23798,           0.0032678,             0.97372,             0.45412,             0.48665,             0.27035,            0.061694,             0.14138,           0.0030487,           0.0071566,           0.0071566,           0.0071566
                 116,            0.070166,             0.22636,           0.0032745,             0.95959,             0.45297,             0.48021,             0.26633,            0.065498,             0.13829,           0.0031015,           0.0071127,           0.0071127,           0.0071127
                 117,            0.074365,             0.22248,           0.0036719,             0.96314,             0.44641,             0.48178,             0.26884,            0.063059,             0.13735,           0.0030574,           0.0070686,           0.0070686,           0.0070686
                 118,            0.066183,             0.23452,           0.0034046,             0.97461,             0.45402,             0.48322,             0.24515,            0.065007,             0.14645,           0.0029764,           0.0070243,           0.0070243,           0.0070243
                 119,            0.067873,             0.22986,           0.0035785,             0.97636,             0.45832,             0.48738,             0.27877,            0.060367,             0.13559,           0.0030074,           0.0069799,           0.0069799,           0.0069799
                 120,            0.066682,             0.22926,           0.0027789,             0.97283,             0.46415,             0.48873,             0.27768,             0.06212,             0.13728,           0.0030741,           0.0069353,           0.0069353,           0.0069353
                 121,            0.069995,             0.22041,           0.0033185,             0.97339,             0.45412,             0.48234,             0.25731,            0.058931,             0.13757,           0.0029886,           0.0068906,           0.0068906,           0.0068906
                 122,             0.06566,             0.22299,           0.0029086,             0.97563,             0.45952,             0.48575,             0.27108,            0.059377,             0.13648,           0.0030113,           0.0068457,           0.0068457,           0.0068457
                 123,            0.065945,              0.2218,           0.0029747,             0.97957,             0.44796,             0.48273,             0.27074,            0.062499,             0.13637,           0.0029902,           0.0068006,           0.0068006,           0.0068006
                 124,            0.068841,             0.22071,           0.0034668,             0.96862,              0.4549,             0.48492,             0.28246,            0.059957,              0.1346,           0.0030783,           0.0067555,           0.0067555,           0.0067555
                 125,            0.069434,             0.21695,           0.0031998,             0.98082,             0.46608,             0.49176,             0.28648,            0.060678,             0.13312,           0.0030622,           0.0067101,           0.0067101,           0.0067101
                 126,            0.063118,             0.21208,           0.0031611,             0.97498,             0.46099,              0.4888,             0.28177,            0.059543,             0.13396,           0.0030154,           0.0066647,           0.0066647,           0.0066647
                 127,            0.064393,             0.21434,           0.0030351,             0.97934,              0.4651,             0.48886,             0.28798,            0.060673,             0.13387,           0.0030104,           0.0066191,           0.0066191,           0.0066191
                 128,            0.064238,             0.22527,           0.0030481,             0.97281,             0.46993,             0.49157,             0.28174,            0.062998,             0.13421,           0.0029631,           0.0065734,           0.0065734,           0.0065734
                 129,            0.067744,             0.22335,           0.0029288,             0.97918,             0.45257,             0.48574,             0.26717,            0.062402,              0.1363,           0.0029411,           0.0065276,           0.0065276,           0.0065276
                 130,            0.071445,             0.23049,           0.0028576,             0.97815,             0.46408,             0.49055,             0.28456,            0.060741,             0.13508,           0.0030176,           0.0064816,           0.0064816,           0.0064816
                 131,            0.066005,             0.21135,           0.0030301,             0.98067,             0.46969,             0.49329,             0.29229,            0.058554,              0.1325,           0.0030061,           0.0064356,           0.0064356,           0.0064356
                 132,            0.062532,             0.21113,           0.0030134,              0.9809,             0.46601,             0.49357,             0.29149,            0.058638,             0.13175,           0.0029864,           0.0063895,           0.0063895,           0.0063895
                 133,            0.064071,             0.20473,           0.0028724,             0.98155,             0.46297,              0.4915,             0.28945,            0.060774,             0.13195,            0.002933,           0.0063432,           0.0063432,           0.0063432
                 134,             0.06473,              0.2191,           0.0031972,             0.96795,             0.46646,              0.4874,             0.27855,            0.061926,             0.13666,           0.0029255,           0.0062969,           0.0062969,           0.0062969
                 135,            0.066369,             0.22037,           0.0029218,             0.97472,             0.47062,             0.49139,             0.29541,            0.060708,             0.13328,           0.0029893,           0.0062505,           0.0062505,           0.0062505
                 136,            0.062272,             0.20932,           0.0033235,             0.97389,              0.4707,             0.49225,             0.29523,            0.058348,             0.13268,           0.0029538,            0.006204,            0.006204,            0.006204
                 137,            0.063356,             0.21363,           0.0035452,             0.97943,             0.46715,             0.49242,             0.29562,            0.060377,              0.1317,           0.0029652,           0.0061574,           0.0061574,           0.0061574
                 138,            0.065277,             0.21029,           0.0029075,             0.97341,              0.4668,              0.4926,             0.27513,            0.058839,              0.1365,            0.002989,           0.0061107,           0.0061107,           0.0061107
                 139,            0.064089,             0.22035,           0.0028741,             0.97656,             0.47186,             0.49279,             0.29731,            0.058186,              0.1317,           0.0029493,            0.006064,            0.006064,            0.006064
                 140,            0.060238,             0.20799,           0.0028802,             0.97453,             0.46683,             0.49232,             0.28738,            0.058744,             0.13412,           0.0029011,           0.0060172,           0.0060172,           0.0060172
                 141,            0.065297,             0.22469,           0.0033032,             0.97611,             0.47109,             0.49339,             0.29673,            0.055778,             0.13217,           0.0029004,           0.0059704,           0.0059704,           0.0059704
                 142,            0.060574,             0.21183,           0.0034185,             0.97818,             0.46608,             0.49211,             0.29309,            0.058044,             0.13268,           0.0028666,           0.0059235,           0.0059235,           0.0059235
                 143,            0.063792,             0.21546,           0.0037526,             0.97832,             0.46916,             0.49366,             0.29337,            0.057693,              0.1327,           0.0028686,           0.0058766,           0.0058766,           0.0058766
                 144,            0.065322,             0.21477,           0.0030209,             0.97599,             0.47378,              0.4954,              0.2904,            0.057216,             0.13302,           0.0029298,           0.0058296,           0.0058296,           0.0058296
                 145,            0.062979,             0.21786,           0.0035836,             0.97663,             0.47301,             0.49354,             0.29343,            0.057176,              0.1313,            0.002961,           0.0057826,           0.0057826,           0.0057826
                 146,            0.062982,             0.21435,           0.0033925,             0.97654,              0.4699,             0.49161,             0.28438,             0.05965,              0.1333,           0.0029281,           0.0057355,           0.0057355,           0.0057355
                 147,            0.061661,             0.21275,           0.0029764,             0.97693,              0.4703,             0.49322,             0.29966,            0.057376,             0.13009,           0.0029639,           0.0056884,           0.0056884,           0.0056884
                 148,            0.062494,             0.20266,           0.0035274,             0.97938,             0.46604,             0.49482,             0.29731,            0.059171,             0.13034,           0.0030088,           0.0056413,           0.0056413,           0.0056413
                 149,             0.06448,             0.21629,           0.0031144,             0.97765,             0.47109,             0.49541,             0.30147,            0.059033,             0.12933,           0.0030086,           0.0055942,           0.0055942,           0.0055942
                 150,            0.060957,             0.21438,           0.0033258,             0.97836,             0.47224,             0.49505,             0.30118,            0.058799,             0.12951,           0.0030108,           0.0055471,           0.0055471,           0.0055471
                 151,             0.05931,              0.2047,           0.0034775,             0.97463,             0.47224,             0.49412,             0.30371,            0.057994,             0.12896,           0.0030334,              0.0055,              0.0055,              0.0055
                 152,            0.061848,             0.21892,           0.0033696,             0.97723,             0.46866,             0.49392,             0.29461,            0.059368,             0.13099,           0.0030343,           0.0054529,           0.0054529,           0.0054529
                 153,            0.062385,             0.20562,           0.0028738,             0.97966,             0.46373,             0.49265,               0.288,            0.057772,             0.13204,           0.0029545,           0.0054058,           0.0054058,           0.0054058
                 154,            0.063657,             0.21285,           0.0032293,             0.97624,             0.46415,             0.49082,             0.27939,             0.05755,             0.13339,           0.0029185,           0.0053587,           0.0053587,           0.0053587
                 155,            0.062337,             0.21277,           0.0029019,             0.97704,              0.4725,             0.49569,             0.30089,             0.05613,             0.12965,           0.0029796,           0.0053116,           0.0053116,           0.0053116
                 156,            0.061891,             0.20455,             0.00354,             0.97925,             0.47186,             0.49542,             0.30321,             0.05579,             0.12947,           0.0030034,           0.0052645,           0.0052645,           0.0052645
                 157,            0.061049,             0.21414,           0.0031185,             0.97972,             0.47408,             0.49578,             0.30515,            0.056041,             0.12971,           0.0030752,           0.0052174,           0.0052174,           0.0052174
