               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.073889,             0.23842,           0.0038629,             0.94551,             0.39877,             0.45563,             0.19762,            0.071949,             0.14571,           0.0026352,           0.0042298,           0.0042298,             0.05933
                  50,            0.074291,             0.22441,           0.0034686,             0.97423,             0.46046,             0.48809,             0.28551,            0.070393,             0.13532,           0.0026847,           0.0043039,           0.0043039,            0.058504
                  51,            0.074259,             0.23304,           0.0035048,             0.93927,             0.43226,             0.46892,             0.25004,            0.076414,             0.14174,           0.0025368,           0.0043773,           0.0043773,            0.057677
                  52,            0.075913,             0.23505,           0.0036458,             0.98295,             0.46877,             0.49435,             0.29912,            0.065183,              0.1367,           0.0025943,           0.0044502,           0.0044502,             0.05685
                  53,            0.070988,             0.21977,           0.0037506,             0.97322,             0.47152,             0.49169,             0.27779,            0.069084,             0.14604,           0.0025788,           0.0045224,           0.0045224,            0.056022
                  54,            0.071849,             0.21877,            0.003659,             0.98131,             0.46592,             0.49082,             0.28438,             0.06538,             0.13613,           0.0025292,           0.0045939,           0.0045939,            0.055194
                  55,            0.071296,             0.21749,           0.0033442,             0.90728,             0.38414,             0.42001,              0.1277,            0.080861,             0.16955,           0.0024315,           0.0046648,           0.0046648,            0.054365
                  56,            0.082888,             0.30091,           0.0041009,             0.85023,             0.39646,              0.3951,             0.15419,            0.075008,             0.15845,           0.0027601,           0.0047351,           0.0047351,            0.053535
                  57,            0.078895,             0.26559,           0.0037942,             0.83417,             0.35681,             0.40196,             0.18744,             0.06988,             0.16425,            0.002605,           0.0048046,           0.0048046,            0.052705
                  58,            0.079283,             0.24034,           0.0046577,             0.80136,             0.37375,             0.36163,            0.096961,            0.069079,             0.16571,           0.0025896,           0.0048734,           0.0048734,            0.051873
                  59,            0.077422,             0.22628,           0.0041679,              0.9427,             0.40608,             0.46579,             0.20461,            0.065188,             0.15555,           0.0025877,           0.0049416,           0.0049416,            0.051042
                  60,            0.072778,             0.22874,           0.0033946,              0.9545,             0.45843,             0.46737,             0.17929,            0.076831,             0.16969,           0.0024053,            0.005009,            0.005009,            0.050209
                  61,            0.081371,             0.22841,           0.0039137,             0.97551,             0.45227,             0.48541,             0.28661,            0.064169,             0.14361,           0.0026218,           0.0050758,           0.0050758,            0.049376
                  62,            0.077349,              0.2233,           0.0038186,             0.98331,             0.46827,             0.49076,             0.27212,            0.067576,             0.14349,           0.0026716,           0.0051418,           0.0051418,            0.048542
                  63,            0.075472,              0.2239,           0.0036256,              0.9592,              0.4642,             0.48539,             0.26832,             0.07574,              0.1407,           0.0027508,            0.005207,            0.005207,            0.047707
                  64,            0.075462,             0.22633,           0.0036231,             0.97092,              0.4311,             0.47972,             0.25065,            0.076441,             0.14852,           0.0027016,           0.0052715,           0.0052715,            0.046872
                  65,            0.077044,             0.23757,           0.0040962,             0.97823,             0.45649,             0.48974,             0.27028,            0.070946,             0.13993,           0.0026627,           0.0053353,           0.0053353,            0.046035
                  66,            0.072131,             0.21888,           0.0036395,             0.96452,             0.46872,               0.479,             0.26972,            0.071884,             0.13803,           0.0026733,           0.0053983,           0.0053983,            0.045198
                  67,            0.076461,             0.23079,           0.0032904,             0.97416,             0.45919,             0.48883,             0.28695,            0.067082,              0.1355,           0.0027166,           0.0054606,           0.0054606,            0.044361
                  68,            0.070852,             0.22305,           0.0032436,             0.98269,             0.46148,             0.48935,             0.29777,            0.068141,             0.13559,           0.0026531,            0.005522,            0.005522,            0.043522
                  69,             0.07177,             0.21517,           0.0036272,             0.98001,             0.46497,             0.49212,             0.29463,            0.060826,             0.13842,            0.002774,           0.0055827,           0.0055827,            0.042683
